%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
34.0, -12876.1015625, 6194.5400390625, -87390.1328125, -78521.5625, -28699.974609375, -46595.875, -34460.265625, -29576.900390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0950000062584877, 0.3630000054836273, 0.2900000214576721, 192.0, 125.0, 8.0, 11.0, 88.0, 9.0, 16.0, 0.0, 0.0, 0.0, 1.608297194944184E9, 2020-12-18 16:13:14.944
36.0, -12854.041015625, 6324.15771484375, -87286.0859375, -78376.28125, -28663.138671875, -46569.45703125, -34429.8671875, -29549.810546875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0950000062584877, 0.3630000054836273, 0.2900000214576721, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949441905E9, 2020-12-18 16:13:14.944
38.0, -12834.37109375, 6288.97607421875, -87191.6015625, -78222.4296875, -28589.623046875, -46479.69140625, -34396.29296875, -29493.7734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0950000062584877, 0.3630000054836273, 0.2900000214576721, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949441965E9, 2020-12-18 16:13:14.944
40.0, -12962.2451171875, 6325.833984375, -87345.0703125, -78350.8828125, -28739.513671875, -46607.0078125, -34547.7265625, -29645.4296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0950000062584877, 0.3630000054836273, 0.2900000214576721, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949442024E9, 2020-12-18 16:13:14.944
42.0, -12962.4912109375, 6191.00830078125, -87285.5703125, -78278.171875, -28696.0625, -46577.90625, -34505.03515625, -29598.8046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0950000062584877, 0.3630000054836273, 0.2900000214576721, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949442084E9, 2020-12-18 16:13:14.944
44.0, -12930.349609375, 6267.40673828125, -87262.34375, -78223.5234375, -28682.181640625, -46559.375, -34504.609375, -29592.634765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16250000521540642, 0.5705000311136246, 0.388000026345253, 192.0, 124.0, 104.0, 12.0, 40.0, 7.5, 24.0, 0.0, 0.0, 0.0, 1.6082971949442143E9, 2020-12-18 16:13:14.944
46.0, -12991.615234375, 6275.654296875, -87352.0, -78304.328125, -28766.224609375, -46639.4609375, -34597.6171875, -29674.443359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16250000521540642, 0.5705000311136246, 0.388000026345253, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949442203E9, 2020-12-18 16:13:14.944
48.0, -12940.6318359375, 6144.47216796875, -87270.1015625, -78240.3984375, -28675.69921875, -46554.0546875, -34501.14453125, -29575.828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16250000521540642, 0.5705000311136246, 0.388000026345253, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949442265E9, 2020-12-18 16:13:14.944
50.0, -12959.9208984375, 6318.52490234375, -87370.375, -78330.3671875, -28769.197265625, -46625.73828125, -34603.875, -29682.51171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16250000521540642, 0.5705000311136246, 0.388000026345253, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949442325E9, 2020-12-18 16:13:14.944
52.0, -13016.9404296875, 6158.82177734375, -87413.9609375, -78406.140625, -28777.53515625, -46645.1171875, -34571.77734375, -29658.259765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16250000521540642, 0.5705000311136246, 0.388000026345253, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949442382E9, 2020-12-18 16:13:14.944
54.0, -13113.74609375, 6123.46142578125, -87551.6015625, -78564.6328125, -28901.02734375, -46772.1875, -34703.09375, -29785.486328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19425000809133053, 0.6682500317692757, 0.440000019967556, 192.0, 124.0, 120.0, 11.5, 120.0, 7.5, 48.0, 0.0, 0.0, 0.0, 1.6082971949442444E9, 2020-12-18 16:13:14.944
56.0, -13372.310546875, 5957.54443359375, -87811.84375, -78838.375, -29171.73046875, -47036.921875, -34963.2890625, -30050.041015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19425000809133053, 0.6682500317692757, 0.440000019967556, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949442503E9, 2020-12-18 16:13:14.944
58.0, -13132.2080078125, 5979.56103515625, -87502.3125, -78566.515625, -28881.716796875, -46760.71875, -34681.5, -29768.54296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19425000809133053, 0.6682500317692757, 0.440000019967556, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949442563E9, 2020-12-18 16:13:14.944
60.0, -13032.67578125, 6249.14501953125, -87443.84375, -78487.2734375, -28833.59375, -46692.34375, -34637.73828125, -29712.462890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19425000809133053, 0.6682500317692757, 0.440000019967556, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949442627E9, 2020-12-18 16:13:14.944
62.0, -13017.7001953125, 6133.00537109375, -87399.8984375, -78439.9765625, -28777.580078125, -46657.1640625, -34577.1640625, -29662.015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19425000809133053, 0.6682500317692757, 0.440000019967556, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949442687E9, 2020-12-18 16:13:14.944
64.0, -12976.3720703125, 6202.318359375, -87392.34375, -78421.5859375, -28756.5234375, -46634.41015625, -34564.6484375, -29644.6484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2191250128671527, 0.7281250394880772, 0.47700000926852226, 192.0, 124.0, 48.0, 12.0, 80.0, 8.0, 8.0, 0.0, 0.0, 0.0, 1.608297194944275E9, 2020-12-18 16:13:14.944
66.0, -13018.8173828125, 6257.236328125, -87453.40625, -78477.0859375, -28814.28125, -46687.94140625, -34602.15234375, -29692.66015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2191250128671527, 0.7281250394880772, 0.47700000926852226, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949442809E9, 2020-12-18 16:13:14.944
68.0, -13003.3056640625, 6132.4912109375, -87406.2890625, -78444.359375, -28758.53515625, -46633.91796875, -34548.64453125, -29633.025390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2191250128671527, 0.7281250394880772, 0.47700000926852226, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949442945E9, 2020-12-18 16:13:14.944
70.0, -13024.6962890625, 6266.78076171875, -87475.0703125, -78508.890625, -28824.205078125, -46698.55859375, -34613.59765625, -29713.291015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2191250128671527, 0.7281250394880772, 0.47700000926852226, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949443016E9, 2020-12-18 16:13:14.944
72.0, -13055.765625, 6108.48583984375, -87494.359375, -78537.6796875, -28840.677734375, -46716.53125, -34637.51171875, -29724.109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2191250128671527, 0.7281250394880772, 0.47700000926852226, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949443088E9, 2020-12-18 16:13:14.944
74.0, -13026.23828125, 6164.61083984375, -87477.796875, -78520.0859375, -28831.111328125, -46695.921875, -34611.69921875, -29698.740234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23556250846013427, 0.7610625345259905, 0.4965000208467245, 192.0, 124.0, 16.0, 12.0, 104.0, 8.0, 16.0, 0.0, 0.0, 0.0, 1.6082971949443161E9, 2020-12-18 16:13:14.944
76.0, -13115.6005859375, 6166.44384765625, -87581.6171875, -78615.9296875, -28935.94140625, -46801.421875, -34705.484375, -29803.724609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23556250846013427, 0.7610625345259905, 0.4965000208467245, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949443233E9, 2020-12-18 16:13:14.944
78.0, -13124.67578125, 6008.26025390625, -87563.09375, -78602.3671875, -28923.3125, -46795.51953125, -34696.140625, -29799.099609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23556250846013427, 0.7610625345259905, 0.4965000208467245, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949443307E9, 2020-12-18 16:13:14.944
80.0, -12947.7841796875, 6266.087890625, -87418.6953125, -78448.6953125, -28796.578125, -46663.0859375, -34580.5390625, -29677.751953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23556250846013427, 0.7610625345259905, 0.4965000208467245, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.608297194944338E9, 2020-12-18 16:13:14.944
82.0, -12859.740234375, 6308.4892578125, -87230.4921875, -78153.3203125, -28655.8515625, -46544.265625, -34436.7265625, -29543.796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23556250846013427, 0.7610625345259905, 0.4965000208467245, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949443452E9, 2020-12-18 16:13:14.944
84.0, -12930.4833984375, 6283.90234375, -87294.6640625, -78166.328125, -28726.3046875, -46595.09375, -34533.17578125, -29630.611328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.25278125959448516, 0.7895312765613198, 0.4142500190064311, 192.0, 123.5, 72.0, 12.5, 72.0, 5.0, 48.0, 0.0, 0.0, 0.0, 1.6082971949443526E9, 2020-12-18 16:13:14.944
86.0, -12961.8427734375, 6314.009765625, -87352.8515625, -78228.8203125, -28778.09375, -46631.50390625, -34606.4453125, -29686.111328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.25278125959448516, 0.7895312765613198, 0.4142500190064311, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6082971949443605E9, 2020-12-18 16:13:14.944
88.0, -13033.0107421875, 6135.84423828125, -87370.7734375, -78223.390625, -28805.83203125, -46665.30078125, -34619.98828125, -29699.8125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.25278125959448516, 0.7895312765613198, 0.4142500190064311, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.608297194944368E9, 2020-12-18 16:13:14.944
